id,label
1,bird
2,airplane
3,automobile
4,ship
5,airplane
6,dog
7,bird
8,cat
9,horse
10,deer
11,bird
12,frog
13,horse
14,airplane
15,cat
16,airplane
17,deer
18,bird
19,airplane
20,deer
21,airplane
22,ship
23,frog
24,automobile
25,bird
26,automobile
27,automobile
28,dog
29,bird
30,dog
31,bird
32,horse
33,dog
34,airplane
35,deer
36,deer
37,frog
38,dog
39,ship
40,dog
41,cat
42,deer
43,truck
44,deer
45,horse
46,automobile
47,deer
48,bird
49,airplane
50,dog
51,bird
52,horse
53,cat
54,frog
55,ship
56,ship
57,frog
58,ship
59,airplane
60,airplane
61,dog
62,cat
63,deer
64,frog
65,ship
66,frog
67,airplane
68,deer
69,bird
70,bird
71,truck
72,bird
73,truck
74,deer
75,bird
76,deer
77,airplane
78,cat
79,horse
80,frog
81,cat
82,deer
83,ship
84,deer
85,deer
86,dog
87,dog
88,bird
89,frog
90,airplane
91,truck
92,airplane
93,bird
94,horse
95,automobile
96,frog
97,deer
98,bird
99,truck
100,deer
101,deer
102,airplane
103,cat
104,cat
105,ship
106,bird
107,automobile
108,deer
109,frog
110,frog
111,horse
112,bird
113,frog
114,airplane
115,ship
116,horse
117,truck
118,horse
119,dog
120,frog
121,bird
122,airplane
123,horse
124,cat
125,ship
126,deer
127,bird
128,cat
129,airplane
130,cat
131,ship
132,deer
133,bird
134,cat
135,automobile
136,frog
137,dog
138,frog
139,dog
140,automobile
141,cat
142,dog
143,cat
144,deer
145,deer
146,truck
147,frog
148,automobile
149,bird
150,frog
151,truck
152,dog
153,cat
154,ship
155,truck
156,dog
157,deer
158,airplane
159,frog
160,frog
161,cat
162,dog
163,bird
164,cat
165,frog
166,automobile
167,frog
168,cat
169,dog
170,cat
171,deer
172,frog
173,ship
174,frog
175,bird
176,airplane
177,dog
178,automobile
179,bird
180,truck
181,frog
182,truck
183,deer
184,frog
185,ship
186,horse
187,ship
188,horse
189,horse
190,airplane
191,automobile
192,airplane
193,airplane
194,cat
195,truck
196,deer
197,airplane
198,cat
199,ship
200,frog
201,airplane
202,cat
203,airplane
204,bird
205,airplane
206,bird
207,bird
208,deer
209,frog
210,cat
211,automobile
212,horse
213,dog
214,frog
215,dog
216,cat
217,dog
218,ship
219,cat
220,automobile
221,frog
222,airplane
223,dog
224,deer
225,cat
226,horse
227,deer
228,cat
229,horse
230,horse
231,deer
232,bird
233,deer
234,deer
235,airplane
236,frog
237,deer
238,deer
239,frog
240,airplane
241,cat
242,ship
243,deer
244,cat
245,cat
246,horse
247,bird
248,truck
249,deer
250,ship
251,airplane
252,airplane
253,frog
254,airplane
255,dog
256,deer
257,bird
258,ship
259,deer
260,frog
261,cat
262,automobile
263,horse
264,horse
265,frog
266,deer
267,cat
268,deer
269,bird
270,automobile
271,dog
272,airplane
273,dog
274,cat
275,horse
276,bird
277,frog
278,horse
279,cat
280,dog
281,dog
282,bird
283,dog
284,bird
285,cat
286,automobile
287,ship
288,truck
289,cat
290,deer
291,automobile
292,cat
293,airplane
294,bird
295,airplane
296,bird
297,cat
298,dog
299,ship
300,truck
301,frog
302,frog
303,frog
304,deer
305,cat
306,automobile
307,airplane
308,bird
309,frog
310,deer
311,automobile
312,bird
313,deer
314,truck
315,cat
316,cat
317,ship
318,deer
319,cat
320,frog
321,dog
322,horse
323,ship
324,dog
325,horse
326,ship
327,cat
328,dog
329,deer
330,truck
331,bird
332,airplane
333,bird
334,deer
335,deer
336,deer
337,dog
338,truck
339,deer
340,ship
341,ship
342,dog
343,bird
344,bird
345,cat
346,cat
347,airplane
348,cat
349,cat
350,truck
351,bird
352,truck
353,bird
354,frog
355,airplane
356,dog
357,airplane
358,deer
359,bird
360,frog
361,horse
362,airplane
363,airplane
364,airplane
365,frog
366,frog
367,cat
368,cat
369,ship
370,deer
371,frog
372,truck
373,horse
374,bird
375,truck
376,airplane
377,deer
378,cat
379,automobile
380,dog
381,frog
382,airplane
383,airplane
384,cat
385,cat
386,cat
387,ship
388,truck
389,bird
390,cat
391,frog
392,frog
393,cat
394,frog
395,frog
396,cat
397,frog
398,deer
399,dog
400,deer
401,truck
402,truck
403,deer
404,airplane
405,deer
406,airplane
407,automobile
408,truck
409,bird
410,bird
411,horse
412,deer
413,ship
414,airplane
415,automobile
416,frog
417,deer
418,bird
419,bird
420,cat
421,frog
422,cat
423,cat
424,deer
425,ship
426,ship
427,cat
428,cat
429,automobile
430,frog
431,cat
432,deer
433,deer
434,airplane
435,frog
436,deer
437,automobile
438,truck
439,automobile
440,dog
441,deer
442,airplane
443,truck
444,deer
445,ship
446,dog
447,cat
448,frog
449,airplane
450,airplane
451,deer
452,frog
453,airplane
454,automobile
455,horse
456,deer
457,deer
458,cat
459,bird
460,airplane
461,frog
462,truck
463,frog
464,frog
465,ship
466,airplane
467,frog
468,deer
469,cat
470,deer
471,horse
472,ship
473,frog
474,airplane
475,bird
476,dog
477,truck
478,dog
479,deer
480,cat
481,cat
482,ship
483,dog
484,ship
485,cat
486,airplane
487,cat
488,cat
489,ship
490,deer
491,truck
492,cat
493,frog
494,cat
495,automobile
496,horse
497,truck
498,frog
499,cat
500,horse
501,ship
502,dog
503,bird
504,deer
505,cat
506,dog
507,dog
508,frog
509,dog
510,cat
511,dog
512,automobile
513,frog
514,deer
515,dog
516,deer
517,truck
518,ship
519,ship
520,automobile
521,cat
522,dog
523,horse
524,truck
525,frog
526,deer
527,bird
528,dog
529,frog
530,airplane
531,dog
532,deer
533,bird
534,airplane
535,deer
536,cat
537,airplane
538,deer
539,truck
540,bird
541,frog
542,cat
543,automobile
544,dog
545,cat
546,deer
547,cat
548,horse
549,horse
550,horse
551,cat
552,bird
553,horse
554,cat
555,cat
556,truck
557,dog
558,ship
559,frog
560,bird
561,frog
562,truck
563,frog
564,cat
565,airplane
566,bird
567,bird
568,cat
569,frog
570,horse
571,ship
572,frog
573,bird
574,ship
575,deer
576,bird
577,truck
578,frog
579,ship
580,cat
581,frog
582,frog
583,frog
584,ship
585,automobile
586,frog
587,deer
588,automobile
589,airplane
590,deer
591,horse
592,deer
593,truck
594,deer
595,frog
596,ship
597,dog
598,truck
599,cat
600,bird
601,frog
602,deer
603,frog
604,cat
605,automobile
606,truck
607,bird
608,dog
609,horse
610,truck
611,dog
612,cat
613,automobile
614,ship
615,cat
616,deer
617,automobile
618,deer
619,horse
620,deer
621,frog
622,deer
623,cat
624,deer
625,cat
626,airplane
627,cat
628,horse
629,horse
630,cat
631,airplane
632,deer
633,truck
634,horse
635,deer
636,ship
637,deer
638,frog
639,airplane
640,cat
641,deer
642,dog
643,dog
644,ship
645,deer
646,automobile
647,truck
648,dog
649,frog
650,airplane
651,cat
652,truck
653,dog
654,cat
655,frog
656,frog
657,cat
658,airplane
659,deer
660,dog
661,cat
662,ship
663,airplane
664,airplane
665,automobile
666,ship
667,bird
668,automobile
669,frog
670,truck
671,cat
672,bird
673,frog
674,airplane
675,horse
676,deer
677,dog
678,frog
679,cat
680,cat
681,bird
682,cat
683,airplane
684,horse
685,cat
686,deer
687,dog
688,cat
689,deer
690,cat
691,bird
692,airplane
693,ship
694,airplane
695,automobile
696,frog
697,cat
698,ship
699,ship
700,frog
701,frog
702,cat
703,truck
704,dog
705,horse
706,cat
707,cat
708,deer
709,bird
710,deer
711,frog
712,dog
713,cat
714,deer
715,frog
716,airplane
717,bird
718,ship
719,bird
720,dog
721,truck
722,dog
723,dog
724,dog
725,airplane
726,dog
727,cat
728,deer
729,airplane
730,deer
731,airplane
732,cat
733,dog
734,cat
735,frog
736,automobile
737,frog
738,dog
739,dog
740,cat
741,dog
742,dog
743,airplane
744,cat
745,deer
746,deer
747,airplane
748,bird
749,dog
750,bird
751,dog
752,ship
753,cat
754,cat
755,ship
756,cat
757,bird
758,deer
759,frog
760,bird
761,frog
762,cat
763,deer
764,dog
765,airplane
766,ship
767,deer
768,frog
769,bird
770,ship
771,airplane
772,deer
773,cat
774,dog
775,deer
776,airplane
777,airplane
778,dog
779,deer
780,horse
781,dog
782,deer
783,automobile
784,airplane
785,frog
786,bird
787,dog
788,airplane
789,bird
790,ship
791,bird
792,dog
793,cat
794,frog
795,cat
796,ship
797,deer
798,frog
799,frog
800,airplane
801,frog
802,deer
803,deer
804,ship
805,airplane
806,automobile
807,frog
808,deer
809,bird
810,deer
811,truck
812,deer
813,bird
814,bird
815,airplane
816,deer
817,cat
818,cat
819,dog
820,deer
821,cat
822,deer
823,frog
824,airplane
825,airplane
826,airplane
827,dog
828,deer
829,cat
830,truck
831,truck
832,dog
833,bird
834,ship
835,truck
836,bird
837,airplane
838,bird
839,dog
840,bird
841,dog
842,deer
843,dog
844,automobile
845,dog
846,deer
847,horse
848,deer
849,automobile
850,cat
851,frog
852,dog
853,deer
854,cat
855,dog
856,frog
857,ship
858,frog
859,dog
860,airplane
861,automobile
862,ship
863,dog
864,airplane
865,ship
866,cat
867,deer
868,cat
869,deer
870,frog
871,deer
872,horse
873,ship
874,bird
875,automobile
876,dog
877,cat
878,ship
879,frog
880,ship
881,deer
882,cat
883,cat
884,dog
885,airplane
886,deer
887,cat
888,dog
889,horse
890,cat
891,bird
892,frog
893,ship
894,automobile
895,bird
896,frog
897,bird
898,automobile
899,ship
900,bird
901,cat
902,automobile
903,horse
904,airplane
905,cat
906,bird
907,deer
908,bird
909,airplane
910,bird
911,deer
912,frog
913,deer
914,truck
915,truck
916,ship
917,bird
918,cat
919,cat
920,cat
921,cat
922,frog
923,airplane
924,automobile
925,deer
926,bird
927,ship
928,dog
929,deer
930,ship
931,bird
932,airplane
933,deer
934,horse
935,horse
936,frog
937,frog
938,automobile
939,automobile
940,airplane
941,bird
942,truck
943,truck
944,airplane
945,horse
946,bird
947,dog
948,airplane
949,dog
950,deer
951,horse
952,airplane
953,dog
954,cat
955,cat
956,truck
957,airplane
958,deer
959,automobile
960,airplane
961,frog
962,frog
963,cat
964,airplane
965,cat
966,cat
967,cat
968,frog
969,automobile
970,truck
971,airplane
972,ship
973,bird
974,frog
975,frog
976,deer
977,bird
978,deer
979,truck
980,dog
981,bird
982,dog
983,ship
984,deer
985,cat
986,dog
987,horse
988,cat
989,deer
990,cat
991,automobile
992,ship
993,bird
994,automobile
995,deer
996,cat
997,ship
998,ship
999,truck
1000,bird
1001,dog
1002,airplane
1003,cat
1004,ship
1005,airplane
1006,dog
1007,ship
1008,frog
1009,automobile
1010,bird
1011,cat
1012,bird
1013,deer
1014,airplane
1015,cat
1016,horse
1017,ship
1018,bird
1019,ship
1020,truck
1021,cat
1022,frog
1023,deer
1024,automobile
1025,deer
1026,cat
1027,cat
1028,deer
1029,cat
1030,dog
1031,horse
1032,bird
1033,deer
1034,cat
1035,cat
1036,deer
1037,deer
1038,truck
1039,dog
1040,airplane
1041,cat
1042,dog
1043,dog
1044,bird
1045,cat
1046,airplane
1047,ship
1048,deer
1049,dog
1050,deer
1051,dog
1052,deer
1053,cat
1054,frog
1055,bird
1056,frog
1057,bird
1058,deer
